id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
789876591664852064,Apartamentos Cuatro Caminos II,199943183,Enrique,Tetuán,Cuatro Caminos,40.45127,-3.70195,Entire home/apt,100,2,74,2025-07-26,2.29,16,292,22,
790573057116582947,Habitación doble en piso compartido,456906715,Antonietta,Puente de Vallecas,Numancia,40.3938931,-3.6554522,Private room,58,1,0,,,3,317,0,
791047406648216497,NoMad Rastro Attic apartment in Madrid,377605855,MIT House,Centro,Embajadores,40.41213,-3.70711,Entire home/apt,,1,6,2025-06-07,0.18,334,4,1,ESFCNT00002816700143305600000000000000000000000000005
791047547531589279,NoMad Rastro Ii apartment in Madrid,377605855,MIT House,Centro,Embajadores,40.41009183910382,-3.7078777057208647,Entire home/apt,,1,20,2024-09-28,0.61,334,0,2,ESFCNT00002816700143303200000000000000000000000000009
791047637485815200,NoMad Rastro Iii apartment in Madrid,377605855,MIT House,Centro,Embajadores,40.41051932387386,-3.7081839813164525,Entire home/apt,,1,24,2024-09-09,0.76,334,0,0,ESFCNT00002816700143304900000000000000000000000000007
791058530659972106,Modern apartment -3 Bedrooms 1 Bathroom - Delicias,452288513,Javier,Arganzuela,Chopera,40.39533,-3.69726,Entire home/apt,151,1,84,2025-08-17,2.57,22,321,25,ESFCNT00002809000008947700000000000000000000000000003
791080648605359988,"Blueground | Trafalgar, fully furnished home",434208714,Blueground,Chamberí,Trafalgar,40.4336427,-3.6987482,Entire home/apt,232,30,1,2024-12-20,0.11,249,233,1,
791081452799087899,"2bedrooms, privat bath. Central",33764591,Julia,Arganzuela,Chopera,40.39462067358307,-3.698179242327886,Private room,,2,0,,,4,0,0,
791162135449504254,Habitación en piso compartido,456906715,Antonietta,Puente de Vallecas,Numancia,40.39306531089069,-3.6547663345395307,Private room,32,1,7,2025-04-30,0.21,3,347,1,
791230282577390230,The Balconies I Apartment with Three balconies in,100152046,Jash,Centro,Universidad,40.42372,-3.70182,Entire home/apt,133,31,10,2025-07-06,0.24,2,76,5,
791274531248167681,Las Letras Acogedor Huertas San Pedro Temporal,83218276,Galota,Centro,Cortes,40.41197,-3.69611,Entire home/apt,132,3,23,2025-06-23,0.74,15,265,3,
791287200003723933,Apartamento recién reformado en Madrid,24764717,Pablo Y Lucía,Chamartín,Prosperidad,40.44403,-3.67272,Entire home/apt,,2,1,2023-04-08,0.03,2,0,0,
791370054633324447,El mirador de Plaza Mayor,259352992,Pilar,Centro,Sol,40.414868,-3.707682,Entire home/apt,184,3,150,2025-09-10,4.57,7,70,48,ESFCNT00E02809100070643200000000000000000000000000006
791387823752090215,Acogedora Habitación con baño privado,152808547,Carolina,Retiro,Pacífico,40.40379,-3.67514,Private room,,3,130,2025-08-08,4.03,5,61,44,
791726503367795010,"Bonito loft, piscina y terraza",21694316,Palos Y Adobe,San Blas - Canillejas,Simancas,40.43803563969007,-3.632434478607901,Entire home/apt,83,15,33,2025-09-04,1.06,2,90,10,ESFCNT00002809900079819800000000000000000000000000009
